"","Journal"
"209","Computers & Geosciences"
"210","Computers & Geosciences"
"211","Computers & Geosciences"
"212","Journal of Structural Geology"
"213","Journal of the Geological Society"
"214","Geochemistry, Geophysics, Geosystems"
"215","Marine and Petroleum Geology"
"216","Earth and Planetary Science Letters"
"217","Earth and Planetary Science Letters"
"218","Journal of Structural Geology"
"219","Nature Geoscience"
"220","Journal of Hydrology"
"221","Earth and Planetary Science Letters"
"222","Geological Magazine"
"223","Geochemistry, Geophysics, Geosystems"
"224","Geophysical Journal International"
"225","Geology"
"226","Journal of Conflict Archaeology"
"227","Gondwana Research"
"228","Scientific Reports"
"229","Lethaia"
"230","Sedimentology"
"231","Quaternary Science Reviews"
"232","Geochimica et Cosmochimica Acta"
